NSC,CID,SMILES
4623,221007,C1=CC=C(C=C1)C2=NC(=C(N2)C(=O)O)C(=O)O
4644,221023,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO
4681,24181093,C1=CC(=CC=C1OCC(=O)O)OCC(=O)O.[Na+]
4698,94837,CC1=CC(=C(C=C1SC#N)C(C)C)O
4722,221037,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC(=C3)CO)OCC(C(C(C=O)O)O)O
4728,19909,C1=NN=C(S1)N
4810,3802861,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-]
4844,24181101,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.F[P-](F)(F)(F)(F)F
4857,21192315,CCN(CC)C(=S)S.[Na+]
4896,5004,C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O
4911,2861016,C1=NC(=S)C2=C(N1)N(C=N2)C3C(C(C(O3)CO)O)O
4962,7253,CC1=C(C=CC(=C1)O)O
4972,16043,CC(C)(C)C1=C(C=CC(=C1)O)O
5006,221117,CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N)C=CC1=N.CC(=O)O
5011,12449,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3.OS(=O)(=O)[O-]
5019,92206,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC3=CC(=CC=C3)S(=O)(=O)O)C=C2)C4=CC=C(C=C4)N(CC)CC5=CC(=CC=C5)S(=O)(=O)O
5031,16129878,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O
5048,79174,C1=CC=C2C(=C1)C(=CC=C2O)N=NC3=CC=C(C=C3)[N+](=O)[O-]
5053,9283,C1=CC=C(C=C1)C2=NN([N+](=N2)C3=CC=CC=C3)C4=CC=CC=C4.[Cl-]
5062,2827274,C=CC[N+]12CN3CN(C1)CN(C3)C2.[I-]
5066,69095,CC1=CC(=CC(=C1N=NC2=CC=C(C=C2)[N+](=O)[O-])O)O
5113,4871,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C
5159,5351130,CC1C(C(C(C(O1)OC2=CC=CC3=C2C4=C5C6=C(C=CC(=C6C(=O)O4)C)OC(=O)C5=C3O)OC7C(C(C(C(O7)C)O)OC)O)O)O
5192,16317,C1=CC=C2C(=C1)C=CC3=C2C(=O)C(=O)C4=CC=CC=C34
5200,135403411,C1=CC=C(C=C1)N=NC2=C(N=C(NC2=O)N)N
5206,24181145,CCCCCCCCCCCC1N=C(N=C(N1C2=CC(=CC=C2)Br)N)N.Cl
5278,17584,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-]
5283,13820,CC[Sn](CC)(CC)Cl
5332,6825,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=CC=N3)O
5337,79411,CCCCCCCCCCCC[N+]1=CC=CC=C1.C1=CC2=C(C=C1Cl)N=C(S2)[S-]
5347,8660,C1=CC=C(C(=C1)C(=O)O)SCC(=O)O
5355,5351462,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[O-]S(=O)(=O)[O-]
5364,2757,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
5366,275196,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3
5417,69064,C1=CC=C2C(=C1)C(=CC=C2O)N=O
5418,67115,CCN(CC)C1=CC=C(C=C1)N=O
5425,94860,C1=CC=C2C(=C1)C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O
5485,221231,C1=CC2=C(C=CN=C2C=C1Cl)NCC(CNC3=C4C=CC(=CC4=NC=C3)Cl)O
5491,25113351,CCN1C(=CC2=CC=[N+](C3=CC=CC=C23)CC)C=CC4=CC=CC=C41.[I-]
5551,6433478,C[N+]1=C(SC2=C1C3=CC=CC=C3C=C2)C=CC4=CC=C(C=C4)N(C)C.[I-]
5620,221258,C1=CC=C2C(=C1)NC(C(=O)S2)(CC(=O)O)CC(=O)O
5639,407452,C1=CC=C(C=C1)C2=CC=CC=C2C(=O)C3=CC=CC=C3
5648,11102,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.[Br-]
760359,11102,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.[Br-]
5703,221307,COC1=CC(=CC(=C1OC)OC)C2=NC=CC3=CC4=C(C=C32)OCO4
5705,221309,COC1=CC(=CC(=C1OC)OC)C2=C(C=C(C3=CC4=C(C=C32)OCO4)O)C(=O)OC
5816,701011,C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)Cl
5889,5646,CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O
5890,5646,CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O
5896,135436503,COC1=CC(=C2C(=C1)C=CC=N2)N=NC3=C4C=CC=NC4=C(C=C3)O.[Na+]
5907,16682406,CC(=O)O.COC1=CC2=C(C=CN=C2C=C1)C=CC3=C4C=C(C=CC4=NC=C3)OC
5908,221375,COC1=CC2=C(C=C1)N(CCC2)C3=C4C=CC=CC4=NC5=CC=CC=C53
5920,407487,CN(C)C1=CC=C(C=C1)CC2=CC(=C(C=C2N)N(C)C)N=NC3=C4C(=CC(=C3)OC)C=CC=N4
6145,70875,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2C(=O)C3=CC=CC=C3
6152,221502,CC1=CC2=C(C=C3C(=C2)C=CC(=C3O)O)C(=C1)O
6171,2758,CC1(C2CCC(O1)(CC2)C)C
6176,90454,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
6266,8433,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2
6278,94880,C1=CC=C2C(=C1)C=CC3=C2N=C(S3)N
6386,23616896,CCN(CC)CC1=CC(=CC(=C1O)CC=C)C2=CC(=C(C(=C2)CN(CC)CC)O)CC=C.Cl
6396,5453,C1CN1P(=S)(N2CC2)N3CC3
6477,899314,CCOC(=O)C=CC1=CC=C(O1)[N+](=O)[O-]
6777,221765,C1=CC2=C(C=C1Br)C3=C(N2)C(=CC(=C3)Br)[N+](=O)[O-]
6814,5281116,CCCCCCCCC=CCCCCCCCCCCCC(=O)O
6883,221812,C1=CC(=CC(=C1)OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
6891,221819,C1=CC(=CC=C1NC(=O)C2=CC(=C(C=C2)Cl)Cl)Br
