NSC,CID
68155,54606037
68558,135460273
68989,250002
69049,9561703
69187,72512
69294,250204
69413,54601314
69509,21144271
69573,250319
69575,250321
69577,250323
69600,5377590
69603,5929717
69604,6285127
69608,580739
69811,667492
69830,250390
69852,5351186
69911,9561735
69917,9561739
69945,96355
70194,250607
70555,250781
70568,54599069
70660,66663
70811,139450
70845,250876
70874,135460287
70929,98033
70931,122724
70933,5357113
71090,251019
71097,40491342
71261,3032861
71300,251112
71302,251114
71381,96378
71423,11683
71426,251176
71536,77265
71669,415629
71677,251355
71717,9561770
71795,3213
71850,251458
71851,3032861
71948,415676
72055,19021065
72115,251561
72151,251586
72234,251620
72254,54609725
72274,251643
72533,135534304
72564,251786
72862,251890
72881,135460295
72914,5351875
72917,251913
72939,54598315
72942,251918
72961,251928
73013,69845
73019,251946
73048,251963
73101,252008
73109,252016
73233,4882
73241,135435713
73287,81079
73300,252101
73306,947057
73346,252116
73396,70418
73411,38475
73413,135534311
73495,415844
73705,96425
73735,72571
73754,13268
74199,252368
74437,98074
74663,252586
74702,5351878
74859,252682
74947,19910
75140,3246283
75382,85797
75520,253083
75627,253131
75747,3246285
75782,135426827
75890,8515
75957,135534342
76023,5351594
76064,253302
76150,253322
76175,5357374
76351,253426
76356,235481
76387,92114
76411,412232
76518,253519
76519,4351018
76523,253522
76627,5351598
76751,72344
76808,253676
76885,253688
76919,253712
76937,253728
76952,4019652
76955,3521514
76991,5357424
77007,253773
77021,101859
77038,135460332
77039,24188551
77140,197738
77141,11797662
77213,9703
77495,4208664
77502,4642645
77541,20071791
77556,5035970
77643,24188580
77809,19921723
77810,21144314
77830,11870
78015,254174
78018,24188629
78206,22576
78298,254234
78312,5254146
78325,54605975
78365,254258
78508,96530
78572,54599544
78627,21144325
78629,20245316
78634,254343
78714,44144400
79037,3950
79093,96539
79139,5936795
79140,5937681
79250,254720
79304,254760
79456,186171
79459,186169
79543,135534376
79563,254860
79606,254882
79687,9615407
79688,5351196
79741,135479135
80103,254975
80111,254980
80126,254983
80141,254996
80186,17534
80396,96570
80465,24188899
80466,24188900
80467,24188901
80469,54605678
80734,255329
80735,255330
80756,54598341
80870,255402
80948,54599570
80997,255437
80998,416706
81048,255470
81052,494043
81206,54604163
81260,4421615
81274,255605
81280,22269430
81303,255622
81403,255700
81465,54609597
81517,255766
81540,416751
81747,255831
81767,6282616
81947,14839
82013,6074315
82025,255922
82028,255923
82029,45953
82109,54609598
82116,9571200
82133,6237
82151,3085106
82219,98140
82260,135476764
82274,256046
82339,96625
82489,9561873
82587,9568284
82655,24189043
82802,256248
82803,256249
82892,4348193
83014,256296
83066,12269596
83110,256330
83142,3085106
83193,107404
83217,19790
83219,6054491
83223,6712944
83224,3246302
83233,74424
83265,256411
83279,256420
83281,256422
83292,256427
83300,256431
83318,256444
83321,256447
83327,256452
83343,9568291
83459,256526
83492,256556
83502,256566
83606,256608
83628,416926
83633,3013954
83715,256661
83950,5298
84033,256729
84061,24189128
84063,2778279
84064,24189130
84069,3048782
84073,361866
84074,2723862
84086,256750
84092,256754
84093,256755
84094,256756
84096,256758
84145,2733850
84167,72574
84248,16682929
84423,11765
84429,21753
84661,257024
85068,257143
85069,3246306
85230,257269
85234,73465
85235,257272
85236,23205
85242,257278
85262,257295
85323,257352
85372,3246307
85431,54605766
85442,441325
85450,257434
85459,96672
85485,257459
85508,8753
85561,135534452
85566,19877808
85700,135534457
85701,54610060
85743,33055
85759,54606158
85775,257608
85776,18074
85779,257612
85791,3278
85998,23615975
86005,122727
86078,6185
86100,257702
86140,74257
86225,4912
86354,19992
86368,135534469
86371,135534475
86372,135534477
86373,135534478
86374,135488972
86467,225289
86714,258057
87015,258237
87034,258251
87084,258293
87086,135454065
87112,24189273
87119,24189274
87197,6285127
87221,122716
87222,122799
87314,258412
87364,258450
87406,96710
87413,417182
87450,135403641
87500,258526
87862,85517
87864,135445765
87868,16741
87877,92577
88054,258759
88065,258769
88104,258797
88135,258809
88381,258918
88421,258957
88468,417256
88499,4784
88536,28204
88871,96758
88903,5351906
88915,259210
88916,259211
88927,417291
88941,54606261
88971,259241
89074,96765
89167,9824
89171,74395
89172,24189419
89201,259331
89239,6433387
89400,259448
89488,259517
89500,259528
89602,259580
89671,5287620
89736,34942
89822,135454027
90137,259746
90311,259766
90318,417379
90394,259812
90411,259820
90558,24189461
90600,6332375
90615,54606297
90616,18471829
90636,5459329
90736,135443018
90810,260000
90829,54606301
90862,260020
90903,5984534
90904,5867877
91397,260309
91513,6436327
91745,54606076
92188,5383288
92207,260644
92339,6215
92412,5380355
92423,260750
92494,260780
92495,260781
92497,260783
92498,260784
92499,260785
92504,260789
92506,260791
92510,260795
92530,260801
92585,3246339
92618,93562
92713,260901
92835,260983
92909,261046
92915,261051
92937,261066
92941,261069
92954,261075
92988,199500
93033,261126
93077,261155
93131,72724
93132,287403
93134,417553
93135,371257
93287,5349234
93301,261316
93354,261360
93355,261361
93419,66363
93427,261413
93489,96917
93674,362574
93734,201553
93737,17170
93739,12447
93819,3121
93866,21144372
93868,21144373
93967,261550
94037,5140086
94600,24360
94703,261763
94739,261792
94743,5281315
94783,261816
94810,261838
94820,261847
94889,261859
94945,72725
95099,261947
95170,262000
95381,262088
95382,98264
95397,262093
95434,262104
95441,5198
95448,500000
95466,26328
95570,24189767
95580,3616
95609,262184
95676,5351927
95678,135429832
95779,262324
96019,262500
96349,23306
96517,24189815
96541,262649
96641,200222
96694,13267783
96704,262764
96914,70068
96932,6364517
96996,36791339
97338,5351212
97345,16683706
97371,13956
97372,207332
97374,5717105
97388,6712949
97419,61253
97845,6414726
97882,59476
97885,5459342
97960,135458781
97967,135460298
98363,3003822
98481,263806
98535,46855
98572,135509512
98573,135400277
98579,418098
98580,418099
98710,263983
98828,264035
98883,21144387
98892,264064
98904,5351215
98905,264067
98923,5380527
98938,6284052
99016,264115
99027,264119
99060,264143
99087,264162
99148,31510
99300,77862
99303,74354
99310,74352
99445,314
99515,24189998
99543,5351940
99671,3246362
99676,3246363
99733,5351216
99843,247955
100046,442206
100058,3449
100071,3561
100279,264884
100290,264889
100434,135500557
100445,135427136
100723,443287
100737,88013
100770,24190089
100777,5380575
100856,135534544
100880,54600009
101003,6267649
101088,265237
101319,9614290
101489,5977454
101490,6252761
101492,265452
101643,265521
102004,418553
102049,97142
102051,97143
102057,265724
102064,265728
102067,265730
102068,265731
102225,5715133
102378,5380664
102622,73419
102627,5284401
102742,265940
102809,135434097
102810,265952
102811,265953
102813,418587
102814,265955
102815,6711164
102816,1805
102817,6711165
102866,3477
103005,5320199
103073,54601300
103231,266121
103336,26738
103508,24190229
103517,54606088
103704,266285
103752,6864590
103755,6332495
103779,73801
103832,9568401
103870,266393
104129,5351219
104133,5474909
104795,418710
104800,4208
104801,24190253
104942,5380731
104943,5281456
104960,9562139
105014,1546
105131,10170
105132,266552
105307,5705391
105348,266625
105444,266698
105509,266737
105546,266767
105550,266770
105808,266923
105827,3580213
105900,266944
106139,135509602
106193,73421
106246,1551121
106360,267219
106399,5281319
106408,5351221
106442,267286
106445,135509607
106461,267294
106486,135476719
106531,267343
106553,267360
106554,267361
106640,24190300
106648,24190303
106677,5380876
106723,135509615
106859,5380900
106907,267555
106909,267557
106969,5315773
106995,135426834
107043,267581
107067,54717225
107124,97226
107129,267603
107237,5380916
107392,135453292
107413,267769
107432,267773
107512,5369182
107529,24040
107658,5311281
107680,3376
107818,54604080
108018,268004
108165,941650
108225,97248
108608,135451589
109072,16683294
109084,268715
109128,268745
109131,268748
109154,6147837
109155,268761
109156,5475881
109188,3246385
109248,268806
109254,268812
109292,265580
109351,419026
109451,268954
109509,268993
109555,54609908
109593,269048
109724,3690
109825,269217
109834,54609913
109836,5351956
109838,54604119
109874,25429
110101,269320
110275,269325
110363,196999
110383,21144417
110407,5381092
110602,22210403
110609,197740
110630,135509648
110800,98351
111062,24190581
111118,269665
111119,269666
111135,269678
111180,581
111533,97283
111556,5357963
111580,269887
111581,3734796
111650,269930
111654,269934
111702,269951
112125,77258
112147,270053
112152,5281545
112166,270061
112167,5281321
112200,270077
112257,5351961
112535,24190688
112751,270355
112758,2958
112796,270389
112846,419263
112849,6474733
112929,5199
112938,270495
112960,6304618
112965,5976008
113053,6163542
113112,270614
113130,2795292
113136,94304
113220,270635
113237,54606151
113423,64840
113452,270723
113455,270725
113497,3458
113764,270800
113802,270811
113908,270820
113918,270832
113926,135398735
113943,270853
113951,270861
114016,270883
114340,5352017
114341,135478684
114345,151719
114346,270973
114381,271001
114382,419381
114384,419383
114512,16683716
114514,24190776
114567,5458217
114568,5458218
114570,5917065
114572,5114
114575,28694
114766,271298
114781,5381287
115447,67192
115497,8237
115526,271622
115610,419515
115618,271691
115625,271694
115684,24190843
115712,271768
115855,271872
115892,271897
115905,72769
115928,271920
115980,9568495
116280,3691874
116282,54603433
116336,272106
116491,272209
116535,272247
116536,3776068
116555,272259
116590,272286
116640,272334
116689,24190918
116692,24190919
116693,5351228
116702,272358
116716,20375529
116717,24190924
116758,272395
116787,272417
116789,272418
117011,272555
117015,272559
117017,272561
117024,272567
117028,272568
117180,272581
117181,54675761
117185,54610240
117186,8269
117187,3724036
117188,3755584
117191,272588
117192,272589
117194,3718835
117196,3347168
117199,3246406
117212,272598
117222,6107678
117232,272617
117269,272646
117271,272648
117274,272651
117281,272658
117285,272662
117356,4112
117614,272892
117619,272896
117739,272938
117915,3632950
117917,3693487
117949,3246414
118028,273088
118030,419766
118051,273108
118090,135398700
118095,381091
118097,82034
118176,273178
118218,3367
118516,419807
118695,54725160
118732,3403987
118742,147623
118767,273493
118836,273548
118976,2346
118994,135400916
119236,273769
119621,273923
119754,72321
119889,274104
119910,274122
119913,274125
119915,274127
120050,24191132
120186,274241
120288,274297
120634,274548
120672,5351984
120925,274726
120958,3832
121073,274793
121129,24191363
121139,87840
121145,6711172
121155,5381681
121182,100053
121208,54598912
121210,198019
