Sanger name	Sanger COSMIC ID	CCLE Label	CCLE name
DMS-273	687985	DMS273_LUNG	DMS 273
FTC-133	906864	FTC133_THYROID	FTC-133
A704	910920	A704_KIDNEY	A-704
Mewo	908128	MEWO_SKIN	MeWo
NCI-H2081	908480	NCIH2081_LUNG	NCI-H2081
NCI-H1092	687997	NCIH1092_LUNG	NCI-H1092
SW837	909755	SW837_LARGE_INTESTINE	SW837
IGR-1	907169	IGR1_SKIN	IGR-1
NCI-H1436	908469	NCIH1436_LUNG	NCI-H1436
COR-L88	906808	CORL88_LUNG	COR-L88
HT55	907287	HT55_LARGE_INTESTINE	HT55
OAW-42	910548	OAW42_OVARY	OAW42
OAW-28	946360	OAW28_OVARY	OAW28
KASUMI-1	907275	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI-1
SK-HEP-1	909719	SKHEP1_LIVER	SK-HEP-1
OVCAR-8	905991	OVCAR8_OVARY	OVCAR-8
NCI-H596	908459	NCIH596_LUNG	NCI-H596
NCI-H650	722066	NCIH650_LUNG	NCI-H650
SW1573	724878	SW1573_LUNG	SW 1573
SK-CO-1	909718	SKCO1_LARGE_INTESTINE	SK-CO-1
KARPAS-299	907273	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-299
YAPC	909904	YAPC_PANCREAS	YAPC
HT-1197	907065	HT1197_URINARY_TRACT	HT-1197
A253	906794	A253_SALIVARY_GLAND	A-253
DK-MG	906839	DKMG_CENTRAL_NERVOUS_SYSTEM	DK-MG
NCI-H292	753604	NCIH292_LUNG	NCI-H292
U-118-MG	687588	U118MG_CENTRAL_NERVOUS_SYSTEM	U-118 MG
TCCSUP	687459	TCCSUP_URINARY_TRACT	TCCSUP
CAL-33	753541	CAL33_UPPER_AERODIGESTIVE_TRACT	CAL-33
COR-L279	910937	CORL279_LUNG	COR-L279
KURAMOCHI	909975	KURAMOCHI_OVARY	KURAMOCHI
A2058	906792	A2058_SKIN	A2058
Daoy	906833	DAOY_CENTRAL_NERVOUS_SYSTEM	Daoy
LC-1F	907785	LC1F_LUNG	LC-1F
HLE	907057	HLE_LIVER	HLE
CMK	910566	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK
CPC-N	753547	CPCN_LUNG	CPC-N
PLC-PRF-5	925349	PLCPRF5_LIVER	PLC/PRF/5
KP-N-YN	907314	KPNYN_AUTONOMIC_GANGLIA	KP-N-YN
CCF-STTG1	906823	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCF-STTG1
DMS-153	687984	DMS153_LUNG	DMS 153
NCI-H1048	687995	NCIH1048_LUNG	NCI-H1048
NCI-H1618	753601	NCIH1618_LUNG	NCI-H1618
SKM-1	909722	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM-1
HT-144	907067	HT144_SKIN	HT-144
DV-90	753553	DV90_LUNG	DV-90
HCC70	907048	HCC70_BREAST	HCC70
NCI-H2452	908462	NCIH2452_PLEURA	NCI-H2452
NCI-SNU-1	908444	SNU1_STOMACH	SNU-1
LOUCY	907789	LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Loucy
