"Sodium;5-[(6-methoxyquinolin-8-yl)diazenyl]quinolin-8-ol"	"COc1cc(N=Nc2ccc(O)c3ncccc23)c4ncccc4c1"
"9-(6-Methoxy-3,4-dihydro-2H-quinolin-1-yl)acridine"	"COc1ccc2N(CCCc2c1)c3c4ccccc4nc5ccccc35"
"4-[[4-(Dimethylamino)phenyl]methyl]-6-[(6-methoxyquinolin-8-yl)diazenyl]-1-N,1-N-dimethylbenzene-1,3-diamine"	"COc1cc(N=Nc2cc(Cc3ccc(cc3)N(C)C)c(N)cc2N(C)C)c4ncccc4c1"
"1,2-Dibenzoylbenzene"	"O=C(c1ccccc1)c2ccccc2C(=O)c3ccccc3"
"Chrysarobin"	"Cc1cc(O)c2cc3c(O)c(O)ccc3cc2c1"
"cineol"	"CC12CCC(CC1)C(C)(C)O2"
"cinchonine"	"O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34"
"dibenzoylmethane"	"O=C(CC(=O)c1ccccc1)c2ccccc2"
"2-aminonaphthiazole"	"Nc1nc2c(ccc3ccccc23)s1"
"bialamicol"	"CCN(CC)Cc1cc(cc(CC=C)c1O)c2cc(CC=C)c(O)c(CN(CC)CC)c2"
"Thiotepa"	"S=P(N1CC1)(N2CC2)N3CC3"
"ALBB-024793"	"[O-][N+](=O)c1cc(Br)cc2c3cc(Br)ccc3[nH]c12"
"72I9A2I712"	"[O-][N+](=O)c1cccc(Oc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])c1"
"N-(4-Bromophenyl)-3,4-dichlorobenzamide"	"Clc1ccc(cc1Cl)C(=O)Nc2ccc(Br)cc2"
""	"O=C(NNc1ccccc1)C(=O)NNc2ccccc2"
"tetraaminoditolylmethane"	"Cc1cc(Cc2cc(C)c(N)cc2N)c(N)cc1N"
"9,24-Dibromononacyclo[18.10.2.22,5.03,16.04,13.06,11.017,31.022,27.028,32]tetratriaconta-1(31),2,4,6(11),7,9,13,15,17,19,22(27),23,25,28(32),29,33-hexadecaene-12,21-dione"	"Brc1ccc2c(c1)C(=O)c3ccc4c5ccc6C(=O)c7cc(Br)ccc7c8ccc(c9ccc2c3c49)c5c68"
"6-hydrazinopurine"	"N\N=C\1/N=CNc2nc[nH]c12"
"ddmp"	"Cc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2"
"Diazooxonorleucine"	"NC(CCC(=O)C=[N+]=[N-])C(=O)O"
""	"COc1cc(\C=C\[N+](=O)[O-])ccc1O"
"phenanthraquinone"	"O=C1C(=O)c2ccccc2c3ccccc13"
""	"COc1ccc(\C=C\[N+](=O)[O-])cc1OC"
"5-Bromo-3-cyclohexyl-2-hydroxybenzamide"	"NC(=O)c1cc(Br)cc(C2CCCCC2)c1O"
"simeon"	"CC1OC(O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)C6=COC(=O)C=C6)C(O)C(O)C1O"
"transvaalin"	"CC1OC(O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)C6=COC(=O)C=C6)C(O)C(OC7OC(CO)C(O)C(O)C7O)C1O"
"digimed"	"CC1OC(CC(O)C1O)OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC7(C)C(CCC67O)C8=CC(=O)OC8)C4)OC3C)OC2C"
"strophanthoside-k"	"COC1CC(O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C6=CC(=O)OC6)OC(C)C1OC7OC(COC8OC(CO)C(O)C(O)C8O)C(O)C(O)C7O"
"Adigal"	"CC1OC(CC(O)C1OC2CC(O)C(OC3CC(OC(=O)C)C(OC4OC(CO)C(O)C(O)C4O)C(C)O3)C(C)O2)OC5CCC6(C)C(CCC7C6CCC8(C)C(CCC78O)C9=CC(=O)OC9)C5"
"Allocor"	"CC1OC(CC(O)C1OC2CC(O)C(OC3CC(OC(=O)C)C(OC4OC(CO)C(O)C(O)C4O)C(C)O3)C(C)O2)OC5CCC6(C)C(CCC7C6CC(O)C8(C)C(CCC78O)C9=CC(=O)OC9)C5"
"Alantan"	"NC(=O)NC1NC(=O)NC1=O"
"mauve"	"Cc1ccc(cc1)[n+]2c3cc(N)c(C)cc3nc4cc(C)c(Nc5ccccc5)cc24"
"krisolamine"	"Nc1ccc(N)c2C(=O)c3ccccc3C(=O)c12"
"2,6-Dichloro-7-methylpurine"	"Cn1cnc2nc(Cl)nc(Cl)c12"
"Inosite"	"OC1C(O)C(O)C(O)C(O)C1O"
"erycorbin"	"OCC(O)C1OC(=O)C(=C1O)O"
"mycoin"	"OC1OCC=C2OC(=O)C=C12"
""	"NC(=O)Nc1n[nH]c(n1)c2ccccc2"
"N-(6-Chloro-2-methoxyacridin-9-yl)-N',N'-diethyl-1-(4-fluorophenyl)butane-1,4-diamine"	"CCN(CC)CCCC(Nc1c2ccc(Cl)cc2nc3ccc(OC)cc13)c4ccc(F)cc4"
"9-Chlorophenanthrene"	"Clc1cc2ccccc2c3ccccc13"
"dyodin"	"Oc1c(I)cc(I)c2cccnc12"
"diacetoxybutyltin"	"CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C"
"Melphalan"	"N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O"
"Bis(4-bromophenyl)iodanium;hydroiodide"	"Brc1ccc([I+]c2ccc(Br)cc2)cc1"
"Diphenyliodanium;2,4,6-trinitrophenol"	"[I+](c1ccccc1)c2ccccc2"
"Bis(4-tert-butylphenyl)iodanium;hydrochloride"	"CC(C)(C)c1ccc([I+]c2ccc(cc2)C(C)(C)C)cc1"
"fumidil"	"COC1C(CCC2(CO2)C1C3(C)OC3CC=C(C)C)OC(=O)\C=C\C=C\C=C\C=C/C(=O)O"
"thiocolciran"	"COc1cc2CC[C@H](N)C3=CC(=O)C(=CC=C3c2c(OC)c1OC)SC"
"pada"	"CN(C)c1ccc(cc1)N=Nc2ccccn2"
"1-(naphthalen-2-yl)-9,10-dioxo-9,10-dihydroanthracene-2-..."	"OC(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1c4ccc5ccccc5c4"
"gelcohol"	"CO[C@@H]1[C@H](O)CC[C@]2(CO2)[C@H]1[C@@]3(C)O[C@@H]3CC=C(C)C"
"lutex"	"CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"
"Triethylenemelamine"	"C1CN1c2nc(nc(n2)N3CC3)N4CC4"
"2,4-Dichloro-6-[(5-chloro-2-hydroxyphenyl)methyl]phenol"	"Oc1ccc(Cl)cc1Cc2cc(Cl)cc(Cl)c2O"
"2,6-Bis[(3,5-dichloro-2-hydroxyphenyl)methyl]-4-pentan-2-ylphenol"	"CCCC(C)c1cc(Cc2cc(Cl)cc(Cl)c2O)c(O)c(Cc3cc(Cl)cc(Cl)c3O)c1"
"phenosafranin"	"Nc1ccc2nc3ccc(N)cc3[n+](c4ccccc4)c2c1"
"pentamide"	"NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1"
"kutizon"	"CC(C)c1ccc(\C=N\NC(=S)N)cc1"
"2-(4-Chlorophenyl)-N-(7-chloroquinolin-4-yl)-N',N'-diethylbutane-1,4-diamine"	"CCN(CC)CCC(CNc1ccnc2cc(Cl)ccc12)c3ccc(Cl)cc3"
"N-(7-Chloroquinolin-4-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine"	"CCN(CC)CCC(CNc1ccnc2cc(Cl)ccc12)c3ccccc3"
"resazoin"	"Oc1ccc2c(OC3=CC(=O)C=CC3=[N+]2[O-])c1"
"p-Fuchsin"	"Nc1ccc(cc1)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3"
"Desoximetasone"	"C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23"
"2-(4-chlorophenyl)-N-(7-chloroquinolin-4-yl)-N',N'-dieth..."	"CCN(CC)CCCC(CNc1ccnc2cc(Cl)ccc12)c3ccc(Cl)cc3"
"2m2pm"	"CN(C)c1ccc(\C=C\c2cccc[n+]2C)cc1"
""	"CN(C)c1ccc(\C=C\c2sc3ccccc3[n+]2C)cc1"
"1,3,3-Trimethyl-2-[(1Z,3E)-4-phenylbuta-1,3-dienyl]indol-1-ium;iodide"	"C[N+]1=C(\C=C\C=C\c2ccccc2)C(C)(C)c3ccccc13"
""	"CN(C)c1ccc(\C=C\C2=[N+](C)c3ccccc3C2(C)C)cc1"
"N-(2,3-Dimethoxy-6-nitroacridin-9-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine;hydrochloride"	"CCN(CC)CCC(CNc1c2ccc(cc2nc3cc(OC)c(OC)cc13)[N+](=O)[O-])c4ccccc4"
"1-(5-Chloro-2-methoxyphenyl)-2-(dipentylamino)ethanol;hydrochloride"	"CCCCCN(CCCCC)CC(O)c1cc(Cl)ccc1OC"
"1-(4-Chloronaphthalen-1-yl)-2-(dipentylamino)ethanol;hydrochloride"	"CCCCCN(CCCCC)CC(O)c1ccc(Cl)c2ccccc12"
"ALBB-015765"	"Oc1cccc2c3OC(=O)C4=C(CCCC4)c3ccc12"
""	"CCCCN(CCCC)CCCCNc1c(C)cnc2cc(Cl)ccc12"
"klot"	"CN(C)c1ccc2nc3cc(C)c(N)cc3[s+]c2c1"
"thioflavine"	"CN(C)c1ccc(cc1)c2sc3cc(C)ccc3[n+]2C"
"3-(Dipentylamino)-1-(4-methoxynaphthalen-1-yl)-2,2-dimethylpropan-1-ol"	"CCCCCN(CCCCC)CC(C)(C)C(O)c1ccc(OC)c2ccccc12"
"ANTINEOPLASTIC-11452"	"O=[As]c1ccc(cc1)S(=O)(=O)Nc2ccccc2"
"NIOSH/GY7277500"	"CC1C(=O)C(=C(c2ccccc2)C1(O)c3ccccc3)C"
"9AD2B660I3"	"OCCNc1ncnc2nc[nH]c12"
"Maybridge3_001738"	"Cn1ncc2c(Sc3ccc(Cl)cc3)ncnc12"
"1-Phenyl-4-propoxy-6-(propylsulfanyl)-1h-pyrazolo[3,4-d]pyrimidine"	"CCCOc1nc(SCCC)nc2c1cnn2c3ccccc3"
"N4,N6-bis(3-chlorophenyl)-1-methyl-1H-pyrazolo[3,4-d]pyr..."	"Cn1ncc2c(Nc3cccc(Cl)c3)nc(Nc4cccc(Cl)c4)nc12"
"mida"	"CN(CC(=O)O)CC(=O)O"
"TimTec1_005460"	"COc1ccc2OC(=O)C=C(C)c2c1"
"Phthiocol"	"CC1=C(O)C(=O)c2ccccc2C1=O"
"lapachol"	"CC(=CCC1=C(O)C(=O)c2ccccc2C1=O)C"
"tardolyt"	"COc1cccc2c1cc(c3c(cc4OCOc4c23)C(=O)O)[N+](=O)[O-]"
"2-Benzyl-6-[[2-[(3-benzyl-5-chloro-2-hydroxyphenyl)methylamino]ethylamino]methyl]-4-chlorophenol;hydrochloride"	"Oc1c(CNCCNCc2cc(Cl)cc(Cc3ccccc3)c2O)cc(Cl)cc1Cc4ccccc4"
"3,4,6-Trichloro-2-[[2-[(2,3,5-trichloro-6-hydroxyphenyl)methylamino]ethylamino]methyl]phenol"	"Oc1c(Cl)cc(Cl)c(Cl)c1CNCCNCc2c(O)c(Cl)cc(Cl)c2Cl"
"3-Methyl-8-(pentyliminomethyl)-5-propan-2-yl-2-[1,6,7-trihydroxy-3-methyl-8-(pentyliminomethyl)-5-propan-2-ylnaphthalen-2-yl]naphthalene-1,6,7-triol"	"CCCCC\N=C\c1c(O)c(O)c(C(C)C)c2cc(C)c(c(O)c12)c3c(C)cc4c(C(C)C)c(O)c(O)c(\C=N\CCCCC)c4c3O"
"REGID_for_CID_223899"	"CC(C)(C)C1=NN=C2C1C(=O)c3ccccc23"
"Resorufin"	"Oc1ccc2N=C3C=CC(=O)C=C3Oc2c1"
"1,2-Dimethoxy-4-(2-nitropropenyl)benzene"	"COc1ccc(\C=C(/C)\[N+](=O)[O-])cc1OC"
"Crotonosid"	"NC1=NC(=O)Nc2c1ncn2C3OC(CO)C(O)C3O"
