"","SMILES"
"4272","Cc1cc2cccnc2c3ncccc13"
"4280","Cc1ccc2ccc3ccc(C)nc3c2n1"
"4281","Cc1ccnc2c1ccc3c(C)ccnc23"
"4285","ClC1=C(Nc2ccccc2)C(=O)c3ccccc3C1=O"
"4290","CCCCCc1cc[n+](CC(=O)c2ccc(cc2)[N+](=O)[O-])cc1"
"4291","CC(Cc1ccc(O)c(O)c1)C(C)Cc2ccc(O)c(O)c2"
"4320","COC1CC(OC2CCC3(C=O)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)OC(C)C1OC7OC(CO)C(O)C(O)C7O"
"4375","CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12"
"4378","CCN(CC)CC(O)c1cc(nc2cc(Cl)ccc12)c3ccc(Cl)cc3"
"4432","CN(CCCl)c1ccc(\C=C\C2=[N+](C)c3ccccc3C2(C)C)cc1"
"4434","C[N+]1=C(\C=C\c2c(c3ccccc3)n(C)c4ccccc24)C(C)(C)c5ccccc15"
"4483","[O-][n+]1ccccc1S"
"4512","IC(CS(=O)(=O)c1ccccc1)C#N"
"4518","Nc1ccc(cc1Br)C(=O)c2ccc(N)c(Br)c2"
"4582","Oc1ccc(Br)cc1\C=C\C(=O)\C=C\c2cc(Br)ccc2O"
"4623","OC(=O)c1nc([nH]c1C(=O)O)c2ccccc2"
"4644","CC(=C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12"
"4681","OC(=O)COc1ccc(OCC(=O)O)cc1"
"4698","CC(C)c1cc(SC#N)c(C)cc1O"
"4722","OCc1cc(OCC(O)C(O)C(O)C=O)c2C(=O)c3ccccc3C(=O)c2c1"
"4728","Nc1nncs1"
"4810","[O-][N+](=O)c1ccc(N\N=C\2/C(=O)Nc3ccccc23)c(c1)[N+](=O)[O-]"
"4844","CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1"
"4857","[Na+].CCN(CC)C(=S)S"
"4896","Oc1ccc2C(=O)c3c(O)ccc(O)c3C(=O)c2c1O"
"4911","OCC1OC(C(O)C1O)n2cnc3C(=S)N=CNc23"
"4962","Cc1cc(O)ccc1O"
"4972","CC(C)(C)c1cc(O)ccc1O"
"5006","Cc1cc(ccc1N)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3"
"5011","CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3"
"5019","CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)Cc3cccc(c3)S(=O)(=O)O)C=C2)c4ccc(cc4)N(CC)Cc5cccc(c5)S(=O)(=O)O"
"5031","Oc1cc(cc(O)c1O)C(=O)Oc2cc(cc(O)c2O)C(=O)OCC3OC(OC(=O)c4cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c4)C(OC(=O)c6cc(O)c(O)c(OC(=O)c7cc(O)c(O)c(O)c7)c6)C(OC(=O)c8cc(O)c(O)c(OC(=O)c9cc(O)c(O)c(O)c9)c8)C3OC(=O)c%10cc(O)c(O)c(OC(=O)c%11cc(O)c(O)c(O)c%11)c%10"
"5048","Oc1ccc(N=Nc2ccc(cc2)[N+](=O)[O-])c3ccccc13"
"5053","c1ccc(cc1)c2n[n+](c3ccccc3)n(n2)c4ccccc4"
"5062","C=CC[N+]12CN3CN(CN(C3)C1)C2"
"5066","Cc1cc(O)cc(O)c1N=Nc2ccc(cc2)[N+](=O)[O-]"
"5113","CC(=CCc1c(O)c2C(=O)C(=COc2c3C=CC(C)(C)Oc13)c4ccc(O)c(O)c4)C"
"5159","COC1C(O)C(C)OC(OC2C(Oc3cccc4c(O)c5C(=O)Oc6ccc(C)c7C(=O)Oc(c5c67)c34)OC(C)C(O)C2O)C1O"
