"","PUBCHEM_ID"
"44477",5351779
"44489",54605561
"44580",239486
"44585",239491
"44684",24185927
"44690",16524
"44753",239578
"45029",239677
"45074",239705
"45114",239729
"45182",135421951
"45236",239763
"45238",5351782
"45291",759327
"45384",18834
"45388",NA
"45527",239838
"45548",NA
"45561",135421996
"45565",NA
"45595",239856
"45596",239857
"45641",520491
"45730",239932
"45739",413256
"45828",3354028
"45831",NA
"45940",240061
"46061",NA
"46085",24186124
"46213",240168
"46401",NA
"46598",54603898
"46647",240444
"46683",240478
"46691",NA
"46728",5355441
"46788",NA
"47147",135408511
"47384",240739
"47438",NA
"47468",135408516
"47657",240863
"47713",NA
"47715",NA
"47719",2723800
"47723",NA
"47731",196986
"47786",240896
"48006",NA
"48034",241000
"48151",241052
"48160",241059
"48162",241061
"48229",241105
"48238",135408530
"48241",135408532
"48269",NA
"48300",241158
"48526",NA
"48630",NA
"48648",241362
"48653",96023
"48693",NA
"48856",241461
"48874",241476
"48888",NA
"48890",241490
"48892",241492
"48956",241506
"49096",NA
"49244",NA
"49451",NA
"49452",5356030
"49460",413544
"49488",135408549
"49490",135408550
"49495",135408551
"49502",5539412
"49512",NA
"49520",141295
"49565",241732
"49689",NA
"49733",241855
"49842",NA
"50076",NA
"50137",413606
"50188",242063
"50189",242064
"50190",242065
"50273",242100
"50413",NA
"50463",NA
"50567",242225
"50643",NA
"50648",242249
"50683",NA
"50686",NA
"50827",135408564
"50869",242314
"50974",NA
"51001",NA
"51045",NA
"51046",NA
"51143",NA
"51146",24186469
"51148",24947
"51351",5356121
"51361",54601410
"51369",242605
"51524",NA
"51534",NA
"51535",80733
"51562",4393482
"51857",135403629
"51916",242907
"52003",242937
"52141",NA
"52245",66413
"52384",5228354
"52389",NA
"52426",135408599
"52427",135408600
"52429",6058184
"52440",243154
"52627",243251
"52745",NA
"53101",16807
"53183",96111
"53184",243422
"53292",243456
"53327",135408610
"53396",NA
"53398",NA
"53454",243545
"53638",NA
"53861",54601442
"53866",NA
"53892",243748
"54042",135408621
"54044",135408622
"54059",97887
"54101",243877
"54251",243943
"54278",243964
"54340",243988
"54393",244028
"54548",NA
"54690",135408642
"54702",NA
"54709",6147639
"54848",54599371
"54849",54605283
"54854",244199
"54902",NA
"54909",244246
"54916",NA
"55114",244282
"55236",54609620
"55720",NA
"55804",244706
"55849",244737
"55861",244745
"56030",244818
"56054",NA
"56287",244944
"56410",NA
"56452",244996
"56544",NA
"56591",54611977
"56612",245068
"56624",245078
"56633",24186907
"56646",54603801
"56677",12885
"56736",54599374
"56779",54602043
"56805",245172
"56808",NA
"56817",NA
"56902",245197
"57048",5480214
"57187",NA
"57197",NA
"57199",9571
"57715",NA
"57759",NA
"57864",245680
"57958",245731
"57969",245742
"58011",245772
"58180",245858
"58239",NA
"58255",245879
"58329",245913
"58338",245920
"58368",NA
"58385",96185
"58514",NA
"58539",135408681
"58573",246015
"58574",246016
"58575",246017
