,HCC44_LUNG,OACP4C_OESOPHAGUS
GO:0009404,0.43356,0.43356
GO:0009409,-0.64912,-0.40141
GO:0009410,1.2074,-0.59379
GO:0009416,0.18251,-1.339
GO:0009451,0.40437,0.40437
GO:0009583,0.88806,0.9236
GO:0009607,1.128,1.073
GO:0009611,-0.055589,-0.29487
GO:0009612,0.63038,-0.0085537
GO:0009615,0.69651,0.28729
GO:0009617,0.85963,0.54393
GO:0009620,0.47085,0.89238
GO:0009628,0.27022,-0.55849
GO:0009636,0.73787,-0.62556
GO:0009651,0.75926,0.75926
GO:0009653,0.24102,0.32562
GO:0009712,-0.4326,-0.4326
GO:0009725,-0.70145,-0.25284
GO:0009746,0.22527,0.26453
GO:0009790,-0.066216,-0.074659
GO:0009791,-0.52286,-0.5309
GO:0009799,0.56019,0.11351
GO:0009812,0.34846,0.34846
GO:0009855,-0.49449,-0.64114
GO:0009880,-0.66734,-0.66734
GO:0009887,0.11157,-0.24592
GO:0009888,-0.10754,-0.43184
GO:0009894,0.1919,0.20374
GO:0009913,0.51964,0.51964
GO:0009914,0.42699,0.39757
GO:0009948,0.63162,0.60759
GO:0009953,-0.46155,-0.52026
GO:0009968,-0.77034,-0.091775
GO:0009988,0.39568,0.39568
GO:0010001,0.20684,0.82694
GO:0010035,0.11485,0.21255
GO:0010038,-0.0039886,-0.50776
GO:0010039,0.48976,0.48976
GO:0010042,-0.59247,-0.43731
GO:0010043,-0.024651,-0.010576
GO:0010165,0.45612,0.45612
GO:0010171,-0.72728,-1.2185
GO:0010212,0.76036,0.81649
GO:0010226,0.55044,0.55044
GO:0010256,0.54232,0.35587
GO:0010259,0.4018,0.4018
GO:0010288,0.75105,0.75105
GO:0010447,0.85296,0.85296
GO:0010453,-0.41492,-0.43914
GO:0010460,0.415,0.415
GO:0010467,0.35424,1.2971
GO:0010468,-0.36682,-0.24623
GO:0010469,0.39202,0.11031
GO:0010470,-0.64579,-0.69507
GO:0010506,0.59972,0.91749
GO:0010507,-0.52071,-0.52071
GO:0010517,-0.48763,-0.76233
GO:0010523,-0.61771,-0.61771
GO:0010543,-0.57647,-0.57647
GO:0010557,0.16318,-0.027879
GO:0010559,-0.44796,-0.54635
GO:0010564,0.63154,0.47029
GO:0010565,-0.37194,-0.13561
GO:0010569,0.49492,0.51405
GO:0010575,-0.37355,-0.37355
GO:0010591,0.58739,0.58739
GO:0010595,-0.51551,-0.47935
GO:0010605,0.12757,0.0065334
GO:0010608,-0.4803,0.15851
GO:0010613,0.62134,0.62134
GO:0010614,-0.49259,-0.5529
GO:0010628,-0.40856,-0.3329
GO:0010629,0.25635,0.24112
GO:0010632,0.51132,0.74568
GO:0010638,0.67875,-0.70116
GO:0010639,-0.62211,-0.89198
GO:0010648,0.30513,0.34142
GO:0010661,0.66138,0.66138
GO:0010666,0.57558,0.57558
GO:0010667,-0.42085,-0.42085
GO:0010677,0.41614,0.51377
GO:0010712,0.43275,0.44129
GO:0010718,-0.66701,0.68795
GO:0010721,1.1432,1.1496
GO:0010738,-0.38338,-0.38338
GO:0010744,-0.4035,-0.71552
GO:0010759,-0.57252,-0.57252
GO:0010762,0.65755,0.42642
GO:0010765,-0.33017,-0.50746
GO:0010769,-0.41315,-0.38675
GO:0010800,-0.32844,-0.65911
GO:0010803,-0.53709,-0.53709
GO:0010810,0.36195,0.28108
GO:0010817,-0.094643,0.32826
GO:0010822,-0.48632,-0.48632
GO:0010823,-0.44857,-0.44857
GO:0010830,-0.56626,-0.72743
GO:0010837,-0.43536,-0.43536
GO:0010862,0.56057,1.5116
GO:0010869,-0.44351,-0.44351
GO:0010874,-0.53414,-0.364
GO:0010880,-0.47071,-0.41091
GO:0010882,-0.50928,-0.48925
