,0,1
243,GO:0051301,GO:0000281
244,GO:0034622,GO:0022618
245,GO:0034622,GO:0051258
246,GO:0034622,GO:0006334
247,GO:0046165,GO:0034312
248,GO:0046394,GO:0072330
249,GO:0046394,GO:1901607
250,GO:0046394,GO:0046457
251,GO:0051252,GO:0043484
252,GO:0051252,GO:1903798
253,GO:0051252,GO:0050684
254,GO:0051252,GO:1903312
255,GO:0051252,GO:1903313
256,GO:0031329,GO:0010506
257,GO:0031329,GO:0031330
258,GO:0031329,GO:0031331
259,GO:0031329,GO:0031998
260,GO:0031329,GO:0051043
261,GO:0031329,GO:1903362
262,GO:0031331,GO:0045821
263,GO:0031331,GO:1903364
264,GO:0006366,GO:0006367
265,GO:0001101,GO:0070542
266,GO:0001101,GO:0071229
267,GO:0043933,GO:0065003
268,GO:0043933,GO:0071824
269,GO:0043933,GO:0043624
270,GO:0043933,GO:1904886
271,GO:0043933,GO:0022618
272,GO:0043933,GO:0034369
273,GO:0043933,GO:0034377
274,GO:0051128,GO:0001558
275,GO:0051128,GO:0022604
276,GO:0051128,GO:0033043
277,GO:0051128,GO:0043244
278,GO:0051128,GO:0043254
279,GO:0051128,GO:0050807
280,GO:0051128,GO:0051129
281,GO:0051128,GO:0051130
282,GO:0051128,GO:0060142
283,GO:0051128,GO:1903053
284,GO:0051128,GO:0110053
285,GO:0051128,GO:1902904
286,GO:0051128,GO:1902905
287,GO:0051128,GO:0045806
288,GO:0051128,GO:0048259
289,GO:0051128,GO:1901889
290,GO:0051128,GO:2000810
291,GO:0051128,GO:0051894
292,GO:0051128,GO:0031345
293,GO:0051128,GO:0120035
294,GO:0006325,GO:0006333
295,GO:0006325,GO:0034401
296,GO:0006325,GO:0043044
297,GO:0006325,GO:0006334
298,GO:0006325,GO:0016570
299,GO:0006464,GO:0006468
300,GO:0006464,GO:0006471
301,GO:0006464,GO:0006497
302,GO:0006464,GO:0008214
303,GO:0006464,GO:0016570
304,GO:0006464,GO:0018193
305,GO:0006464,GO:0031365
306,GO:0006464,GO:0035601
307,GO:0006464,GO:0043543
308,GO:0006464,GO:0043687
309,GO:0006464,GO:0070647
310,GO:0008104,GO:0031503
311,GO:0008104,GO:0034613
312,GO:0008104,GO:0035418
313,GO:0008104,GO:0045185
314,GO:0008104,GO:0015031
315,GO:0008104,GO:0072594
316,GO:0008104,GO:0090150
317,GO:0034599,GO:0034614
318,GO:0034599,GO:0036473
319,GO:0007165,GO:0006984
320,GO:0007165,GO:0007166
321,GO:0007165,GO:0007186
322,GO:0007165,GO:0030522
323,GO:0007165,GO:0035556
324,GO:0007165,GO:0060395
325,GO:0007165,GO:0097190
326,GO:0007165,GO:1903831
327,GO:0007165,GO:0036498
328,GO:0007165,GO:0097192
329,GO:0007165,GO:0098664
330,GO:0007165,GO:0000165
331,GO:0007165,GO:0043401
332,GO:0015711,GO:0015701
333,GO:0015711,GO:0015914
334,GO:0015711,GO:0043252
335,GO:0015711,GO:0046942
336,GO:0098656,GO:1905039
337,GO:0001501,GO:0048705
338,GO:0001501,GO:0048706
339,GO:0001501,GO:0060348
340,GO:0001501,GO:0002062
341,GO:0001503,GO:0001649
342,GO:0001503,GO:0030282
343,GO:0001503,GO:0001958
344,GO:0098657,GO:0001504
345,GO:0098657,GO:0006897
346,GO:0006836,GO:0001504
347,GO:0006836,GO:0007269
348,GO:0001505,GO:0001504
349,GO:0001505,GO:0007269
350,GO:0042391,GO:0060306
351,GO:0042391,GO:0098900
352,GO:0042391,GO:0019228
353,GO:0042391,GO:0086002
354,GO:0042391,GO:0086012
355,GO:0042391,GO:0086013
356,GO:0042391,GO:0051900
357,GO:0042391,GO:0060079
358,GO:0048646,GO:0001525
359,GO:0048646,GO:0001704
360,GO:0048646,GO:0001756
361,GO:0048646,GO:0010927
362,GO:0048646,GO:0048645
363,GO:0048646,GO:0001843
364,GO:0001525,GO:0001569
365,GO:0001525,GO:0002040
366,GO:0048608,GO:0001541
367,GO:0048608,GO:0001890
368,GO:0048608,GO:0030850
369,GO:0048608,GO:0060711
370,GO:0048608,GO:0030539
371,GO:0048589,GO:0035264
372,GO:0048589,GO:0055017
373,GO:0048589,GO:0043403
374,GO:0048589,GO:0003401
375,GO:0048589,GO:1990138
376,GO:0048589,GO:0098868
377,GO:0030855,GO:0002064
378,GO:0030855,GO:0009913
379,GO:0030855,GO:0045446
380,GO:0030855,GO:0002066
381,GO:0030855,GO:0002067
382,GO:0001558,GO:0030307
383,GO:0001558,GO:0030308
384,GO:0001558,GO:0061050
385,GO:0001558,GO:0061387
386,GO:0040008,GO:0001558
387,GO:0040008,GO:0045926
388,GO:0040008,GO:0045927
389,GO:0040008,GO:0048638
390,GO:0051707,GO:0009615
391,GO:0051707,GO:0009617
392,GO:0051707,GO:0009620
393,GO:0051707,GO:0019730
394,GO:0051707,GO:0098542
395,GO:0051707,GO:0042832
396,GO:0001944,GO:0001945
397,GO:0001944,GO:0061437
398,GO:0048754,GO:0001569
399,GO:0048754,GO:0001658
400,GO:0048754,GO:0060444
401,GO:0015908,GO:0015909
402,GO:0007423,GO:0043583
403,GO:0007423,GO:0090596
404,GO:0007423,GO:0043010
405,GO:0001822,GO:0001656
406,GO:0001822,GO:0001823
407,GO:0001822,GO:0060993
408,GO:0001822,GO:0072073
409,GO:0001822,GO:0072012
410,GO:0048871,GO:0001659
411,GO:0048871,GO:0001894
412,GO:0048871,GO:0097009
413,GO:0001666,GO:0071456
414,GO:0016477,GO:0001764
415,GO:0016477,GO:0008347
416,GO:0016477,GO:0050900
417,GO:0016477,GO:0001755
418,GO:0016477,GO:0030595
419,GO:0016477,GO:0043534
420,GO:0001676,GO:0042759
421,GO:0001676,GO:0043651
422,GO:0001676,GO:0019371
423,GO:0001676,GO:0019373
424,GO:0055082,GO:0006873
425,GO:0055082,GO:0071333
426,GO:0097164,GO:0042417
427,GO:1901362,GO:0006694
428,GO:1901362,GO:0033014
429,GO:1901362,GO:0034654
430,GO:1901362,GO:0046112
431,GO:1901362,GO:0072525
432,GO:1901362,GO:0042423
433,GO:0019438,GO:0033014
434,GO:0019438,GO:0034654
435,GO:0043009,GO:0001701
436,GO:0043009,GO:0001756
437,GO:0043009,GO:0048706
438,GO:0001701,GO:0001824
439,GO:0007369,GO:0001704
440,GO:0045165,GO:0001708
441,GO:0045165,GO:0048663
442,GO:0048598,GO:0007369
443,GO:0048598,GO:0016331
444,GO:0048598,GO:0042472
445,GO:0048598,GO:0042733
446,GO:0048598,GO:0048562
447,GO:0048598,GO:0060669
448,GO:0048598,GO:0001947
449,GO:0009653,GO:0009887
450,GO:0009653,GO:0010171
451,GO:0009653,GO:0021587
452,GO:0009653,GO:0035107
453,GO:0009653,GO:0035239
454,GO:0009653,GO:0048598
455,GO:0009653,GO:0048646
456,GO:0009653,GO:0048729
457,GO:0009653,GO:0060042
458,GO:0009653,GO:0060325
